# hashId<TAB>resourceKey
7G1eUR	ClassicTS/Geometry/coin
7kcueq	ClassicTS/Geometry/eggbot_default
9cERcc	ClassicTS/Geometry/eggbot_egy
7y5U0J	ClassicTS/Geometry/eggbot_ind
9nf5Fh	ClassicTS/Geometry/eggbot_jun
9MjKqe	ClassicTS/Geometry/eggbot_med
2yWJQw	ClassicTS/Geometry/egy_anubis
7vJtJU	ClassicTS/Geometry/egy_console
CP7jvQ	ClassicTS/Geometry/egy_sphinx
0FcH8D	ClassicTS/Geometry/egy_tile_boundary
1N6j7q	ClassicTS/Geometry/egy_tile_boundary_corner
3hwjHj	ClassicTS/Geometry/egy_tile_boundary_edge
3umD92	ClassicTS/Geometry/egy_tile_boundary_oblisk
5d5uUF	ClassicTS/Geometry/egy_tile_boundary_pyramid
CWWyX1	ClassicTS/Geometry/egy_tile_boundary_sml_corner
D3mvdE	ClassicTS/Geometry/egy_tile_corner
0n6P6m	ClassicTS/Geometry/egy_tile_corner_static
A4Cd3f	ClassicTS/Geometry/egy_tile_crossroads
1Mvnqx	ClassicTS/Geometry/egy_tile_crossroads_static
224jrK	ClassicTS/Geometry/egy_tile_door
EdveaA	ClassicTS/Geometry/egy_tile_slide
11vTaW	ClassicTS/Geometry/egy_tile_straight
3k62Rt	ClassicTS/Geometry/egy_tile_straight_static
2kAWji	ClassicTS/Geometry/egy_tutankhamun
4HTWpX	ClassicTS/Geometry/ind_console
17RDH4	ClassicTS/Geometry/ind_tile_boundary
EAvNp3	ClassicTS/Geometry/ind_tile_boundary_corner
0AnnEc	ClassicTS/Geometry/ind_tile_boundary_edge
8Xxnwq	ClassicTS/Geometry/ind_tile_boundary_pitted
E6ca5M	ClassicTS/Geometry/ind_tile_boundary_plate
CjwwdK	ClassicTS/Geometry/ind_tile_boundary_sml_corner
1CvvYr	ClassicTS/Geometry/ind_tile_caustic
6CPrwp	ClassicTS/Geometry/ind_tile_corner
9V8JWt	ClassicTS/Geometry/ind_tile_corner_static
2pFWu0	ClassicTS/Geometry/ind_tile_crossroads
DW4fjw	ClassicTS/Geometry/ind_tile_crossroads_static
4ev2mu	ClassicTS/Geometry/ind_tile_door
1vvP4W	ClassicTS/Geometry/ind_tile_pipe_corner
9aMVcT	ClassicTS/Geometry/ind_tile_pipe_floor
0NjiuH	ClassicTS/Geometry/ind_tile_pipe_join
0fCRhc	ClassicTS/Geometry/ind_tile_pipe_join_leak
EfxX6n	ClassicTS/Geometry/ind_tile_pipe_mid
1U4ErD	ClassicTS/Geometry/ind_tile_pipe_straight
AYUhJf	ClassicTS/Geometry/ind_tile_slide
70nT32	ClassicTS/Geometry/ind_tile_straight
17Cuhx	ClassicTS/Geometry/ind_tile_straight_static
EeT5W2	ClassicTS/Geometry/jun_boundary_earth
6KU2uF	ClassicTS/Geometry/jun_boundary_earth_grass_corner
5pKF63	ClassicTS/Geometry/jun_boundary_grass
Dnk3mV	ClassicTS/Geometry/jun_boundary_grass_earth_a
2rJQnk	ClassicTS/Geometry/jun_boundary_grass_earth_b
06qiFC	ClassicTS/Geometry/jun_boundary_grass_earth_corner
0JdacX	ClassicTS/Geometry/jun_boundary_plant
38qvMW	ClassicTS/Geometry/jun_boundary_statue
ANFVxM	ClassicTS/Geometry/jun_boundary_temple
EMHQt9	ClassicTS/Geometry/jun_boundary_tree_double
C4RwAp	ClassicTS/Geometry/jun_boundary_tree_plant
9dvnc4	ClassicTS/Geometry/jun_boundary_tree_single
AHViae	ClassicTS/Geometry/jun_console
DVyM20	ClassicTS/Geometry/jun_mudpool
DmwrdQ	ClassicTS/Geometry/jun_tile_boundary
3v0D3H	ClassicTS/Geometry/jun_tile_boundary_corner
8urD1i	ClassicTS/Geometry/jun_tile_boundary_edge
2d8rDa	ClassicTS/Geometry/jun_tile_boundary_pyramid
C67haH	ClassicTS/Geometry/jun_tile_boundary_sml_corner
7dJCiV	ClassicTS/Geometry/jun_tile_corner
207Yaa	ClassicTS/Geometry/jun_tile_corner_static
Dre3NK	ClassicTS/Geometry/jun_tile_crossroads
CyG4Tk	ClassicTS/Geometry/jun_tile_crossroads_static
4w3D7D	ClassicTS/Geometry/jun_tile_door
DXja48	ClassicTS/Geometry/jun_tile_slide
5ij1AU	ClassicTS/Geometry/jun_tile_stone_corner
4qCr5t	ClassicTS/Geometry/jun_tile_stone_crossroads
3kiKyf	ClassicTS/Geometry/jun_tile_stone_straight
DnrQE9	ClassicTS/Geometry/jun_tile_straight
DHiN58	ClassicTS/Geometry/jun_tile_straight_static
7KEEwJ	EvolutionMedieval/Geometry/med_boundary_tile_01
E5wPC7	EvolutionMedieval/Geometry/med_cage
CXrq5t	ClassicTS/Geometry/med_console
CjMRK6	EvolutionMedieval/Geometry/med_console
1Wj9V6	EvolutionMedieval/Geometry/med_corner_ne_hd
6iPdnH	EvolutionMedieval/Geometry/med_float_straight_hd
